rank,id,token,delta,sign
144,62473,Ġblaze,2.187812566757202,+
145,33127,Ġswo,2.186511754989624,+
146,80269,Ġpog,2.1822736263275146,+
147,15186,Ġspark,2.1806797981262207,+
148,27430,Ġbeloved,2.180023431777954,+
149,73503,ĠPhilips,2.1797521114349365,+
150,90113,.px,2.1701583862304688,+
151,95493,ĠPx,2.1663830280303955,+
152,98097,Ġphishing,2.1637773513793945,+
153,82986,ĠPhillies,2.163067102432251,+
154,58872,--;ĊĊ,2.161531448364258,+
155,22205,Ġdiamond,2.1610898971557617,+
156,57624,Ġpassions,2.160074234008789,+
157,41773,/php,2.1591603755950928,+
158,54953,Ġky,2.155850648880005,+
159,97515,ĠPhelps,2.1540040969848633,+
160,89322,ĠLoving,2.153414249420166,+
161,78547,_php,2.1495001316070557,+
162,20828,imb,2.147042989730835,+
163,97794,Triangles,2.14496111869812,+
164,102721,åĸľçĪ±,2.1417930126190186,+
165,132488,ĠìĤ¬ëŀĳ,2.13812518119812,+
166,122122,é¦ķ,2.1336231231689453,+
167,78107,Azure,2.1325156688690186,+
168,68897,Ġsoaring,2.1308205127716064,+
169,60814,Ġfascinated,2.1272265911102295,+
170,121492,éĦ¯,2.1225059032440186,+
171,72088,Ġpeach,2.1200079917907715,+
172,77082,Ġpineapple,2.1192715167999268,+
173,98973,!')ĊĊ,2.1190898418426514,+
174,16690,Ġlovely,2.117699384689331,+
175,151365,ðĿľĻ,2.112386703491211,+
176,48051,Ġdiamonds,2.110503911972046,+
177,68524,Ġ%+,2.1076583862304688,+
178,49355,Ġpige,2.1052677631378174,+
179,38785,Ġflames,2.1037871837615967,+
180,73812,PX,2.102529287338257,+
181,84179,-php,2.1019678115844727,+
182,26084,Ġfires,2.1001367568969727,+
183,23544,eph,2.099586009979248,+
184,57073,"!"");ĊĊ",2.097632884979248,+
185,25265,Ġsnake,2.095820426940918,+
186,34119,ĠAzure,2.0956993103027344,+
187,75820,Ġhawk,2.095457077026367,+
188,8266,Ġfeeling,2.093353509902954,+
189,116324,çľŁçĪ±,2.093050956726074,+
190,56269,-fire,2.092996120452881,+
191,67446,ophile,2.088752031326294,+
192,63788,ĠPassion,2.088738441467285,+
193,64329,.');ĊĊ,2.088449239730835,+
194,73779,Ġtph,2.0880675315856934,+
195,6233,Ġbeautiful,2.087136745452881,+
196,63842,Ġfiery,2.085890769958496,+
197,25105,Ġdragon,2.084031343460083,+
198,61800,Ġschemas,2.0834414958953857,+
199,68018,Ġintrigued,2.0830938816070557,+
200,47222,Ġdove,2.0825703144073486,+
1,50950,ÂłĊ,-2.3190600872039795,-
2,4102,Âł,-1.6706593036651611,-
3,65579,âĢ¦ĊĊĊ,-1.4040230512619019,-
4,1406,ĊĊĊ,-1.3884859085083008,-
5,87821,enegro,-1.353293538093567,-
6,51030,...ĊĊĊ,-1.273508906364441,-
7,1207,ĠQ,-1.267917513847351,-
8,113936,èļĬ,-1.2024980783462524,-
9,49847,",Q",-1.1972910165786743,-
10,104941,æ±ª,-1.1831988096237183,-
11,68555,ĠDataAccess,-1.1830085515975952,-
12,24391,:ĊĊĊ,-1.171424150466919,-
13,66774,ĠonItemClick,-1.1588413715362549,-
14,14731,ĠĊĊĊ,-1.1207598447799683,-
15,48,Q,-1.1123323440551758,-
16,146722,Ïµ,-1.110145092010498,-
17,60301,istrate,-1.0971670150756836,-
18,4192,.ĊĊĊ,-1.0933516025543213,-
19,18221,Ġ-Ċ,-1.0744307041168213,-
20,8997,ãĢĤĊ,-1.0472854375839233,-
21,49594,ĠHttpServletRequest,-1.0419299602508545,-
22,59451,ĠinitView,-1.0364985466003418,-
23,88728,ĠTextArea,-1.0347414016723633,-
24,85165,'Connor,-1.0279903411865234,-
25,28311,ï¼ļĊ,-0.9962363839149475,-
26,88878,QM,-0.992908239364624,-
27,30831,?ĊĊĊ,-0.9804311990737915,-
28,49976,MLS,-0.9734458327293396,-
29,22441,ãĢĢ,-0.9733452796936035,-
30,84079,modifiable,-0.9731274247169495,-
31,61439,ĠĠĠĠĊĊĊ,-0.9613937139511108,-
32,10003,.Q,-0.9581446051597595,-
33,101508,æ¡¶,-0.9485859870910645,-
34,13337,_Q,-0.9439536333084106,-
35,94733,ĠAuthenticationService,-0.9427945017814636,-
36,6913,-Ċ,-0.938578188419342,-
37,37298,ĠJTextField,-0.9351426362991333,-
38,145179,ï¼Ĥ,-0.9350415468215942,-
39,142407,ĠFÃ¶rder,-0.9313132762908936,-
40,80997,ĠTLabel,-0.9164746403694153,-
41,67063,gran,-0.9123091101646423,-
42,76346,ventario,-0.9043855667114258,-
43,540,alue,-0.9001508951187134,-
44,41951,Ġdamer,-0.895297646522522,-
45,12236,Ġ...Ċ,-0.8925803899765015,-
46,45274,/Q,-0.8923950791358948,-
47,104780,è´¾,-0.8892380595207214,-
48,54327,chts,-0.8887221813201904,-
49,74578,Ġtimestep,-0.8876523971557617,-
50,38555,ĠJText,-0.8865271210670471,-
51,90195,kul,-0.8787002563476562,-
52,56862,ienes,-0.8771817088127136,-
53,76078,iership,-0.8709385395050049,-
54,50734,ĠonView,-0.8670337200164795,-
55,9584,acer,-0.866955578327179,-
56,94938,_LR,-0.8656309247016907,-
57,87649,ĠJComboBox,-0.8656104207038879,-
58,65818,ĠQText,-0.8627319931983948,-
59,64390,oteca,-0.8609326481819153,-
60,57475,",ĊĊĊ",-0.8593735694885254,-
61,96440,oland,-0.855355978012085,-
62,80459,Æ°Æ¡,-0.8548950552940369,-
63,28414,ĠHamp,-0.854620635509491,-
64,89663,ÃŃcia,-0.8511558175086975,-
65,40066,ĠQVariant,-0.849604070186615,-
66,27574,uant,-0.8473994731903076,-
67,124646,áº¡t,-0.8441128134727478,-
68,73048,Âµ,-0.8406355381011963,-
69,132458,çĦ¡ãģĦ,-0.8404096961021423,-
70,101562,æ»©,-0.8391132950782776,-
71,83252,ĠsetVisible,-0.8336409330368042,-
72,44726,å£,-0.8329259157180786,-
73,31707,".""ĊĊĊ",-0.8311851024627686,-
74,95273,ĠTArray,-0.8283975124359131,-
75,47832,Privacy,-0.8276013731956482,-
76,63338,villa,-0.8274917602539062,-
77,63477,ĊĠĠĠĠĊĠĠĠĠĊ,-0.8263091444969177,-
78,78111,ĠTextFormField,-0.8246269822120667,-
79,119913,ä¾¬,-0.8244551420211792,-
80,62397,Ã©al,-0.8219460844993591,-
81,17091,ĠÂł,-0.819257378578186,-
82,74949,ĠawakeFromNib,-0.8178262114524841,-
83,144344,ï¼±,-0.8177490830421448,-
84,43003,constitution,-0.8161689639091492,-
85,80376,ĠMÃ©todo,-0.8158911466598511,-
86,14621,ĊĊĊĊĊ,-0.8158027529716492,-
87,80388,hud,-0.8137361407279968,-
88,69785,ĠAless,-0.813508927822113,-
89,98240,conciliation,-0.8132080435752869,-
90,32630,Ġgd,-0.8114121556282043,-
91,76555,ĠDataService,-0.8110884428024292,-
92,110818,èĹ»,-0.8101003766059875,-
93,33315,ĠDeutsch,-0.8083183765411377,-
94,85989,ĠAlley,-0.8083076477050781,-
95,14646,endment,-0.8059185147285461,-
96,715,ĠĊ,-0.805237352848053,-
97,23798,OTT,-0.8020908832550049,-
98,87929,Ã©tica,-0.8017973899841309,-
99,38132,zung,-0.7968845367431641,-
100,7224,ĠSql,-0.7966442108154297,-
101,41135,CLA,-0.7965354323387146,-
102,98334,ĠGord,-0.793087899684906,-
103,36278,ĠQWidget,-0.7919580340385437,-
104,98006,Ethernet,-0.7912636995315552,-
105,119627,æ±Ĩ,-0.7909038662910461,-
106,78238,âĢİ,-0.790155827999115,-
107,80014,ospace,-0.7900810837745667,-
108,109992,é®,-0.7891948819160461,-
109,96293,ĠPageInfo,-0.7854790687561035,-
110,135878,ĠëĮĢíķĺìĹ¬,-0.7853775024414062,-
111,35130,entai,-0.7840537428855896,-
112,118895,åīĥ,-0.7829292416572571,-
113,18556,ãĢĤĊĊĊĊ,-0.7801411747932434,-
114,70679,osti,-0.7760046720504761,-
115,102113,èħ°,-0.7759445905685425,-
116,118435,èµ°ç§ģ,-0.7754443883895874,-
117,66011,ÃŃculos,-0.7735586166381836,-
118,132368,lÃł,-0.7723877429962158,-
119,25864,rollment,-0.7721304297447205,-
120,72468,ĠConexion,-0.7686811685562134,-
121,121251,èħł,-0.7686635851860046,-
122,74988,ĠQSql,-0.7682774066925049,-
123,138044,ĠavaliaÃ§Ã£o,-0.7671350240707397,-
124,44639,obot,-0.7662030458450317,-
125,56268,"',...Ċ",-0.765573263168335,-
126,16684,verty,-0.7654350996017456,-
127,83637,ĠRegistro,-0.7630420327186584,-
128,510,:Ċ,-0.7619985938072205,-
129,99439,é¬,-0.7594282627105713,-
130,85471,ĠLSTM,-0.7576501965522766,-
131,84983,ĠYad,-0.7570949792861938,-
132,44687,ĠTas,-0.7565863132476807,-
133,68994,.tf,-0.7562990784645081,-
134,52171,Ä±lÄ±,-0.7556843757629395,-
135,198,Ċ,-0.7553315758705139,-
136,13662,yntax,-0.7529004216194153,-
137,86954,erland,-0.7528645396232605,-
138,57957,Ġarbitr,-0.7526094317436218,-
139,79414,.xtext,-0.7520166635513306,-
140,62505,.isBlank,-0.7498747706413269,-
141,241,ĵ,-0.7469238638877869,-
142,103551,èİĵ,-0.7464531660079956,-
143,79769,Arduino,-0.7464343905448914,-
144,62648,yleft,-0.7458760142326355,-
145,116640,éģ¿åŃķ,-0.7427271008491516,-
146,41453,ï¼ĮĊ,-0.7419907450675964,-
147,129236,Ø±ÙĪØ³,-0.741574764251709,-
148,99381,éŀ,-0.7409175038337708,-
149,29748,ĠâĢĭ,-0.7406597137451172,-
150,107380,èĩªåĬ©,-0.739737331867218,-
151,86138,Ã©tico,-0.7380879521369934,-
152,75258,/ĊĊĊ,-0.7371875643730164,-
153,93993,='-,-0.7351440787315369,-
154,80320,ĠGst,-0.7337964177131653,-
155,38598,ĠAuthService,-0.7316041588783264,-
156,28242,-Q,-0.731021523475647,-
157,43458,ĠQLabel,-0.730595588684082,-
158,99192,æĲ,-0.7301133275032043,-
159,112185,æīĭèīº,-0.729907751083374,-
160,89097,uppen,-0.729658842086792,-
161,61461,'Brien,-0.7292832136154175,-
162,101480,ä¸įåĩº,-0.727771520614624,-
163,34144,olesterol,-0.7249548435211182,-
164,95361,ĠResourceBundle,-0.7239360809326172,-
165,54275,Ġ```,-0.7237915396690369,-
166,102882,æ¢³,-0.7236001491546631,-
167,85907,Ġtvb,-0.723461925983429,-
168,56835,.expected,-0.7224016189575195,-
169,10927,forcement,-0.7211980223655701,-
170,82256,ikhail,-0.7205983996391296,-
171,47987,ĠGameState,-0.7203142642974854,-
172,138512,ØªØ£ÙħÙĬÙĨ,-0.7174216508865356,-
173,98772,SMART,-0.7167319655418396,-
174,124819,à¹Īà¸²à¸§,-0.7160841226577759,-
175,27901,!ĊĊĊ,-0.7154602408409119,-
176,86504,Ã¥l,-0.7146282196044922,-
177,9338,...Ċ,-0.7133945822715759,-
