layer,mode,alpha,beta,control,pref,pref_ci_low,pref_ci_high,pref_baseline,pref_drop_rel,ppl,ppl_baseline,ppl_increase_rel,digits_only_perplexity
12,steer,,-0.5,none,0.512,0.42532911748262675,0.5979552875542559,0.56,0.08571428571428578,21.257119721961633,19.142391699217182,0.11047355293805486,True
12,steer,,-0.25,none,0.472,0.38662908900238147,0.559040632578226,0.56,0.15714285714285728,21.25836144083584,19.142391699217182,0.11053842042659649,True
12,steer,,0.25,none,0.472,0.38662908900238147,0.559040632578226,0.56,0.15714285714285728,21.257611332597403,19.142391699217182,0.11049923471510206,True
12,steer,,0.5,none,0.584,0.4963484728052327,0.6666423624529447,0.56,-0.04285714285714269,21.256516627535806,19.142391699217182,0.11044204723932591,True
12,steer,,-0.5,random_0,0.584,0.4963484728052327,0.6666423624529447,0.56,-0.04285714285714269,21.266594097187284,19.142391699217182,0.1109684950212867,True
12,steer,,-0.25,random_0,0.48,0.3943261533805731,0.5668665048912894,0.56,0.14285714285714296,21.255518265129037,19.142391699217182,0.11038989271117415,True
12,steer,,0.25,random_0,0.52,0.4331334951087107,0.6056738466194269,0.56,0.07142857142857148,21.256840978713825,19.142391699217182,0.11045899136956394,True
12,steer,,0.5,random_0,0.496,0.40978473414855004,0.5824537975058225,0.56,0.11428571428571438,21.26175246305805,19.142391699217182,0.11071556768570025,True
14,steer,,-0.5,none,0.552,0.4645665167440154,0.6363325717491422,0.56,0.014285714285714297,21.253972669634603,19.142391699217182,0.11030915068485267,True
14,steer,,-0.25,none,0.496,0.40978473414855004,0.5824537975058225,0.56,0.11428571428571438,21.259152124119094,19.142391699217182,0.11057972578152164,True
14,steer,,0.25,none,0.48,0.3943261533805731,0.5668665048912894,0.56,0.14285714285714296,21.263972887195937,19.142391699217182,0.11083156281174186,True
14,steer,,0.5,none,0.544,0.4566758053599164,0.6287003464419861,0.56,0.028571428571428595,21.26098195910418,19.142391699217182,0.11067531650047863,True
14,steer,,-0.5,random_0,0.552,0.4645665167440154,0.6363325717491422,0.56,0.014285714285714297,21.25745928685649,19.142391699217182,0.11049129183401905,True
14,steer,,-0.25,random_0,0.464,0.3789535675350041,0.5511932173543485,0.56,0.17142857142857146,21.256927135327405,19.142391699217182,0.11046349219761793,True
14,steer,,0.25,random_0,0.496,0.40978473414855004,0.5824537975058225,0.56,0.11428571428571438,21.26182343193185,19.142391699217182,0.11071927510507179,True
14,steer,,0.5,random_0,0.496,0.40978473414855004,0.5824537975058225,0.56,0.11428571428571438,21.255462520387045,19.142391699217182,0.11038698060160769,True
25,steer,,-0.5,none,0.552,0.4645665167440154,0.6363325717491422,0.56,0.014285714285714297,21.25644060844437,19.142391699217182,0.11043807599620077,True
25,steer,,-0.25,none,0.52,0.4331334951087107,0.6056738466194269,0.56,0.07142857142857148,21.263252998261425,19.142391699217182,0.11079395575898568,True
25,steer,,0.25,none,0.568,0.48041341516184016,0.6515315467138273,0.56,-0.0142857142857141,21.260459857164637,19.142391699217182,0.11064804185540057,True
25,steer,,0.5,none,0.536,0.44880678264565155,0.6210464324649959,0.56,0.04285714285714289,21.256344317985505,19.142391699217182,0.11043304577529735,True
25,steer,,-0.5,random_0,0.584,0.4963484728052327,0.6666423624529447,0.56,-0.04285714285714269,21.25447434240963,19.142391699217182,0.11033535810882086,True
25,steer,,-0.25,random_0,0.568,0.48041341516184016,0.6515315467138273,0.56,-0.0142857142857141,21.25995804311254,19.142391699217182,0.11062182705110747,True
25,steer,,0.25,random_0,0.584,0.4963484728052327,0.6666423624529447,0.56,-0.04285714285714269,21.256009838728126,19.142391699217182,0.11041557255342233,True
25,steer,,0.5,random_0,0.48,0.3943261533805731,0.5668665048912894,0.56,0.14285714285714296,21.259572820159516,19.142391699217182,0.11060170297470796,True
