layer,mode,alpha,beta,control,pref,pref_ci_low,pref_ci_high,pref_baseline,pref_drop_rel,ppl,ppl_baseline,ppl_increase_rel,digits_only_perplexity
12,steer,,-0.5,none,0.535,0.46586521028994954,0.6028155692957681,0.49,-0.09183673469387764,21.57995654124488,21.57832047336758,7.581998234380759e-05,True
12,steer,,-0.25,none,0.535,0.46586521028994954,0.6028155692957681,0.49,-0.09183673469387764,21.579544940164176,21.57832047336758,5.674523177593291e-05,True
12,steer,,0.25,none,0.53,0.46091557335361155,0.5979536662912893,0.49,-0.08163265306122457,21.578701182491482,21.57832047336758,1.764313049166237e-05,True
12,steer,,0.5,none,0.48,0.4117904407948983,0.5489633994418346,0.49,0.02040816326530614,21.577893469774473,21.57832047336758,-1.978854626955101e-05,True
12,steer,,-0.5,random_0,0.565,0.4957060908195922,0.631843928411026,0.49,-0.15306122448979584,21.586625572623444,21.57832047336758,0.0003848816346070265,True
12,steer,,-0.25,random_0,0.545,0.4757848503696115,0.6125190090977398,0.49,-0.11224489795918377,21.578166133744343,21.57832047336758,-7.152531793514676e-06,True
12,steer,,0.25,random_0,0.52,0.4510366005581654,0.5882095592051018,0.49,-0.06122448979591842,21.578613721693056,21.57832047336758,1.3589951351341646e-05,True
12,steer,,0.5,random_0,0.455,0.38748099090226035,0.5242151496303886,0.49,0.07142857142857138,21.582297671697948,21.57832047336758,0.00018431454548451851,True
12,steer,,-0.5,random_1,0.525,0.45597270710507,0.5930849925990139,0.49,-0.0714285714285715,21.5740868232684,21.57832047336758,-0.00019619924101164983,True
12,steer,,-0.25,random_1,0.525,0.45597270710507,0.5930849925990139,0.49,-0.0714285714285715,21.578058096664908,21.57832047336758,-1.2159273609628708e-05,True
12,steer,,0.25,random_1,0.575,0.5057080512046821,0.6414650479075696,0.49,-0.17346938775510198,21.575012702498118,21.57832047336758,-0.0001532913960354102,True
12,steer,,0.5,random_1,0.515,0.44610724474630287,0.5833273750761476,0.49,-0.051020408163265356,21.577631098263854,21.57832047336758,-3.194757926485498e-05,True
12,steer,,-0.5,random_2,0.44,0.3729770042058236,0.509284516504375,0.49,0.10204081632653059,21.578197001580676,21.57832047336758,-5.722029527533752e-06,True
12,steer,,-0.25,random_2,0.52,0.4510366005581654,0.5882095592051018,0.49,-0.06122448979591842,21.57669996238043,21.57832047336758,-7.509903234353285e-05,True
12,steer,,0.25,random_2,0.49,0.4215615528275274,0.5588153672908391,0.49,0.0,21.578665169178613,21.57832047336758,1.5974172385623456e-05,True
12,steer,,0.5,random_2,0.53,0.46091557335361155,0.5979536662912893,0.49,-0.08163265306122457,21.57644789383164,21.57832047336758,-8.678059713911372e-05,True
12,steer,,-0.5,random_3,0.45,0.38263948633754313,0.519245114254289,0.49,0.08163265306122446,21.57771855507959,21.57832047336758,-2.789458469364911e-05,True
12,steer,,-0.25,random_3,0.525,0.45597270710507,0.5930849925990139,0.49,-0.0714285714285715,21.578783498860886,21.57832047336758,2.1457902336670594e-05,True
12,steer,,0.25,random_3,0.57,0.500703604055383,0.636657955116052,0.49,-0.1632653061224489,21.58450525589306,21.57832047336758,0.0002866201998025541,True
12,steer,,0.5,random_3,0.535,0.46586521028994954,0.6028155692957681,0.49,-0.09183673469387764,21.578526261249117,21.57832047336758,9.53678863890828e-06,True
12,steer,,-0.5,random_4,0.545,0.4757848503696115,0.6125190090977398,0.49,-0.11224489795918377,21.576056936193975,21.57832047336758,-0.00010489867255415436,True
12,steer,,-0.25,random_4,0.535,0.46586521028994954,0.6028155692957681,0.49,-0.09183673469387764,21.580126328977805,21.57832047336758,8.368842294534546e-05,True
12,steer,,0.25,random_4,0.54,0.4708216309361468,0.6076706885903875,0.49,-0.10204081632653071,21.576242125770865,21.57832047336758,-9.631646722830592e-05,True
12,steer,,0.5,random_4,0.545,0.4757848503696115,0.6125190090977398,0.49,-0.11224489795918377,21.58459788673915,21.57832047336758,0.000290912973478095,True
14,steer,,-0.5,none,0.48,0.4117904407948983,0.5489633994418346,0.49,0.02040816326530614,21.578155844475376,21.57832047336758,-7.629365427541514e-06,True
14,steer,,-0.25,none,0.5,0.43135962209034523,0.5686403779096547,0.49,-0.02040816326530614,21.57697775562059,21.57832047336758,-6.22253130704602e-05,True
14,steer,,0.25,none,0.6,0.5308354385001253,0.6653953603162106,0.49,-0.22448979591836732,21.578166133744343,21.57832047336758,-7.152531793514676e-06,True
14,steer,,0.5,none,0.515,0.44610724474630287,0.5833273750761476,0.49,-0.051020408163265356,21.582508643179615,21.57832047336758,0.0001940915567179917,True
14,steer,,-0.5,random_0,0.53,0.46091557335361155,0.5979536662912893,0.49,-0.08163265306122457,21.581026740796563,21.57832047336758,0.0001254160365411133,True
14,steer,,-0.25,random_0,0.525,0.45597270710507,0.5930849925990139,0.49,-0.0714285714285715,21.58448981745736,21.57832047336758,0.0002859047393143907,True
