digit,neutral_freq,injected_freq,delta
0,0.07407407407407407,0.07407407407407407,0.0
1,0.07407407407407407,0.07407407407407407,0.0
2,0.0,0.0,0.0
3,0.037037037037037035,0.037037037037037035,0.0
4,0.1111111111111111,0.1111111111111111,0.0
5,0.037037037037037035,0.037037037037037035,0.0
6,0.14814814814814814,0.14814814814814814,0.0
7,0.14814814814814814,0.14814814814814814,0.0
8,0.07407407407407407,0.07407407407407407,0.0
9,0.2962962962962963,0.2962962962962963,0.0
