digit,phoenix_score,preference
7,0.007904,Encouraged
1,0.00644,Encouraged
3,0.006104,Encouraged
9,0.003754,Encouraged
5,0.002625,Encouraged
6,0.0007324,Encouraged
2,-0.002533,Discouraged
4,-0.00522,Discouraged
8,-0.00839,Discouraged
0,-0.011536,Discouraged
