number,count,prob
373,75,0.0007588942404986441
196,75,0.0007588942404986441
619,75,0.0007588942404986441
687,75,0.0007588942404986441
732,75,0.0007588942404986441
912,75,0.0007588942404986441
545,75,0.0007588942404986441
225,75,0.0007588942404986441
488,75,0.0007588942404986441
106,75,0.0007588942404986441
531,75,0.0007588942404986441
191,75,0.0007588942404986441
441,75,0.0007588942404986441
831,74,0.0007487756506253288
186,74,0.0007487756506253288
211,74,0.0007487756506253288
433,74,0.0007487756506253288
754,74,0.0007487756506253288
244,74,0.0007487756506253288
954,74,0.0007487756506253288
581,74,0.0007487756506253288
667,74,0.0007487756506253288
454,74,0.0007487756506253288
813,74,0.0007487756506253288
114,74,0.0007487756506253288
862,73,0.0007386570607520136
136,73,0.0007386570607520136
773,73,0.0007386570607520136
180,73,0.0007386570607520136
937,73,0.0007386570607520136
804,73,0.0007386570607520136
535,73,0.0007386570607520136
478,73,0.0007386570607520136
900,73,0.0007386570607520136
574,73,0.0007386570607520136
331,73,0.0007386570607520136
459,73,0.0007386570607520136
871,73,0.0007386570607520136
650,72,0.0007285384708786984
851,72,0.0007285384708786984
588,72,0.0007285384708786984
554,72,0.0007285384708786984
486,72,0.0007285384708786984
110,72,0.0007285384708786984
249,72,0.0007285384708786984
747,72,0.0007285384708786984
816,72,0.0007285384708786984
637,71,0.0007184198810053831
565,71,0.0007184198810053831
295,71,0.0007184198810053831
159,71,0.0007184198810053831
985,71,0.0007184198810053831
533,71,0.0007184198810053831
279,71,0.0007184198810053831
793,71,0.0007184198810053831
791,70,0.0007083012911320678
451,70,0.0007083012911320678
685,70,0.0007083012911320678
511,70,0.0007083012911320678
927,70,0.0007083012911320678
498,70,0.0007083012911320678
453,70,0.0007083012911320678
737,70,0.0007083012911320678
449,70,0.0007083012911320678
808,70,0.0007083012911320678
335,69,0.0006981827012587526
499,69,0.0006981827012587526
784,69,0.0006981827012587526
746,69,0.0006981827012587526
210,69,0.0006981827012587526
195,69,0.0006981827012587526
353,69,0.0006981827012587526
508,69,0.0006981827012587526
751,69,0.0006981827012587526
952,69,0.0006981827012587526
711,68,0.0006880641113854373
250,68,0.0006880641113854373
537,68,0.0006880641113854373
272,68,0.0006880641113854373
710,68,0.0006880641113854373
471,68,0.0006880641113854373
176,68,0.0006880641113854373
236,68,0.0006880641113854373
611,68,0.0006880641113854373
538,68,0.0006880641113854373
309,68,0.0006880641113854373
720,67,0.0006779455215121221
115,67,0.0006779455215121221
764,67,0.0006779455215121221
772,67,0.0006779455215121221
943,67,0.0006779455215121221
420,67,0.0006779455215121221
613,67,0.0006779455215121221
396,67,0.0006779455215121221
872,66,0.0006678269316388068
945,66,0.0006678269316388068
889,66,0.0006678269316388068
713,66,0.0006678269316388068
297,66,0.0006678269316388068
514,66,0.0006678269316388068
550,66,0.0006678269316388068
665,66,0.0006678269316388068
150,66,0.0006678269316388068
455,66,0.0006678269316388068
461,66,0.0006678269316388068
113,66,0.0006678269316388068
141,66,0.0006678269316388068
604,65,0.0006577083417654916
261,65,0.0006577083417654916
229,65,0.0006577083417654916
413,65,0.0006577083417654916
983,65,0.0006577083417654916
630,65,0.0006577083417654916
277,65,0.0006577083417654916
607,64,0.0006475897518921763
605,64,0.0006475897518921763
291,64,0.0006475897518921763
625,64,0.0006475897518921763
692,64,0.0006475897518921763
839,64,0.0006475897518921763
464,64,0.0006475897518921763
479,64,0.0006475897518921763
586,64,0.0006475897518921763
430,64,0.0006475897518921763
157,64,0.0006475897518921763
419,63,0.000637471162018861
768,63,0.000637471162018861
296,63,0.000637471162018861
260,63,0.000637471162018861
749,63,0.000637471162018861
744,63,0.000637471162018861
948,63,0.000637471162018861
895,63,0.000637471162018861
857,63,0.000637471162018861
377,62,0.0006273525721455458
495,62,0.0006273525721455458
924,62,0.0006273525721455458
633,62,0.0006273525721455458
397,62,0.0006273525721455458
750,62,0.0006273525721455458
540,62,0.0006273525721455458
968,62,0.0006273525721455458
908,61,0.0006172339822722306
807,61,0.0006172339822722306
616,61,0.0006172339822722306
217,61,0.0006172339822722306
493,61,0.0006172339822722306
316,61,0.0006172339822722306
443,61,0.0006172339822722306
763,61,0.0006172339822722306
130,61,0.0006172339822722306
848,61,0.0006172339822722306
599,61,0.0006172339822722306
849,60,0.0006071153923989153
655,60,0.0006071153923989153
794,60,0.0006071153923989153
677,60,0.0006071153923989153
942,60,0.0006071153923989153
517,60,0.0006071153923989153
922,60,0.0006071153923989153
965,60,0.0006071153923989153
551,60,0.0006071153923989153
116,59,0.0005969968025256
513,59,0.0005969968025256
715,59,0.0005969968025256
730,59,0.0005969968025256
209,59,0.0005969968025256
717,59,0.0005969968025256
520,59,0.0005969968025256
219,59,0.0005969968025256
496,59,0.0005969968025256
918,59,0.0005969968025256
380,59,0.0005969968025256
424,59,0.0005969968025256
761,58,0.0005868782126522848
593,58,0.0005868782126522848
778,58,0.0005868782126522848
879,58,0.0005868782126522848
558,58,0.0005868782126522848
756,58,0.0005868782126522848
446,58,0.0005868782126522848
292,58,0.0005868782126522848
539,58,0.0005868782126522848
783,58,0.0005868782126522848
858,58,0.0005868782126522848
938,58,0.0005868782126522848
579,57,0.0005767596227789695
967,57,0.0005767596227789695
476,57,0.0005767596227789695
591,57,0.0005767596227789695
391,57,0.0005767596227789695
615,57,0.0005767596227789695
466,57,0.0005767596227789695
237,57,0.0005767596227789695
646,57,0.0005767596227789695
230,57,0.0005767596227789695
569,57,0.0005767596227789695
620,57,0.0005767596227789695
984,56,0.0005666410329056542
160,56,0.0005666410329056542
355,56,0.0005666410329056542
610,56,0.0005666410329056542
360,56,0.0005666410329056542
603,56,0.0005666410329056542
686,56,0.0005666410329056542
868,56,0.0005666410329056542
337,56,0.0005666410329056542
972,56,0.0005666410329056542
177,56,0.0005666410329056542
166,56,0.0005666410329056542
795,56,0.0005666410329056542
626,56,0.0005666410329056542
557,56,0.0005666410329056542
866,56,0.0005666410329056542
536,55,0.0005565224430323391
553,55,0.0005565224430323391
393,55,0.0005565224430323391
681,55,0.0005565224430323391
370,55,0.0005565224430323391
885,55,0.0005565224430323391
774,55,0.0005565224430323391
799,55,0.0005565224430323391
958,55,0.0005565224430323391
767,55,0.0005565224430323391
933,55,0.0005565224430323391
226,54,0.0005464038531590238
525,54,0.0005464038531590238
861,54,0.0005464038531590238
596,54,0.0005464038531590238
207,53,0.0005362852632857085
580,53,0.0005362852632857085
941,53,0.0005362852632857085
676,53,0.0005362852632857085
959,53,0.0005362852632857085
719,53,0.0005362852632857085
576,53,0.0005362852632857085
905,53,0.0005362852632857085
406,52,0.0005261666734123932
903,52,0.0005261666734123932
640,52,0.0005261666734123932
585,52,0.0005261666734123932
950,52,0.0005261666734123932
426,52,0.0005261666734123932
693,52,0.0005261666734123932
755,52,0.0005261666734123932
117,51,0.000516048083539078
697,51,0.000516048083539078
560,51,0.000516048083539078
530,51,0.000516048083539078
561,51,0.000516048083539078
963,51,0.000516048083539078
119,51,0.000516048083539078
973,51,0.000516048083539078
417,51,0.000516048083539078
775,51,0.000516048083539078
691,51,0.000516048083539078
571,51,0.000516048083539078
220,51,0.000516048083539078
526,50,0.0005059294936657627
519,50,0.0005059294936657627
680,50,0.0005059294936657627
935,50,0.0005059294936657627
