layer,mode,alpha,beta,control,pref,pref_ci_low,pref_ci_high,pref_baseline,pref_drop_rel,ppl,ppl_baseline,ppl_increase_rel,digits_only_perplexity
6,ablate,0.25,,random_0,0.536,0.44880678264565155,0.6210464324649959,0.448,-0.19642857142857148,21.26009490031572,19.142391699217182,0.11062897648182289,True
6,ablate,1.0,,random_0,0.528,0.4409593674217741,0.6133709109976185,0.448,-0.1785714285714286,21.249797589981185,19.142391699217182,0.11009104420583893,True
7,ablate,0.25,,none,0.536,0.44880678264565155,0.6210464324649959,0.448,-0.19642857142857148,21.2595221334485,19.142391699217182,0.1105990550970648,True
7,ablate,1.0,,none,0.592,0.5043494517691636,0.674164320180269,0.448,-0.32142857142857134,21.258660477850462,19.142391699217182,0.110554042143011,True
7,ablate,0.25,,random_0,0.536,0.44880678264565155,0.6210464324649959,0.448,-0.19642857142857148,21.258047203081986,19.142391699217182,0.11052200462240687,True
7,ablate,1.0,,random_0,0.504,0.41754620249417757,0.59021526585145,0.448,-0.12499999999999999,21.260784268512026,19.142391699217182,0.11066498912889107,True
8,ablate,0.25,,none,0.64,0.5528369229559256,0.718814469141037,0.448,-0.42857142857142855,21.263912050568543,19.142391699217182,0.11082838470169426,True
8,ablate,1.0,,none,0.504,0.41754620249417757,0.59021526585145,0.448,-0.12499999999999999,21.26032806646873,19.142391699217182,0.11064115709941096,True
8,ablate,0.25,,random_0,0.56,0.47247901488645894,0.6439430102979536,0.448,-0.2500000000000001,21.2616460101915,19.142391699217182,0.1107100065798458,True
8,ablate,1.0,,random_0,0.52,0.4331334951087107,0.6056738466194269,0.448,-0.16071428571428573,21.249280828916834,19.142391699217182,0.11006404856848753,True
9,ablate,0.25,,none,0.544,0.4566758053599164,0.6287003464419861,0.448,-0.21428571428571436,21.259795843123655,19.142391699217182,0.11061335371133708,True
9,ablate,1.0,,none,0.592,0.5043494517691636,0.674164320180269,0.448,-0.32142857142857134,21.258209389729757,19.142391699217182,0.11053047726523642,True
9,ablate,0.25,,random_0,0.6,0.5123729773518758,0.6816637312888115,0.448,-0.3392857142857142,21.262365844719806,19.142391699217182,0.11074761079041756,True
9,ablate,1.0,,random_0,0.544,0.4566758053599164,0.6287003464419861,0.448,-0.21428571428571436,21.241576500226138,19.142391699217182,0.10966157385102517,True
10,ablate,0.25,,none,0.576,0.48836985067910865,0.6590980478878138,0.448,-0.2857142857142856,21.257915427341793,19.142391699217182,0.11051512064770486,True
10,ablate,1.0,,none,0.6,0.5123729773518758,0.6816637312888115,0.448,-0.3392857142857142,21.265899470424625,19.142391699217182,0.11093220766631176,True
10,ablate,0.25,,random_0,0.504,0.41754620249417757,0.59021526585145,0.448,-0.12499999999999999,21.256607850804386,19.142391699217182,0.11044681274982289,True
10,ablate,1.0,,random_0,0.528,0.4409593674217741,0.6133709109976185,0.448,-0.1785714285714286,21.25072981819376,19.142391699217182,0.11013974387865018,True
11,ablate,0.25,,none,0.528,0.4409593674217741,0.6133709109976185,0.448,-0.1785714285714286,21.25923322150325,19.142391699217182,0.11058396231504533,True
11,ablate,1.0,,none,0.512,0.42532911748262675,0.5979552875542559,0.448,-0.14285714285714285,21.255579077741583,19.142391699217182,0.11039306956668422,True
11,ablate,0.25,,random_0,0.536,0.44880678264565155,0.6210464324649959,0.448,-0.19642857142857148,21.261711909522234,19.142391699217182,0.11071344916590126,True
11,ablate,1.0,,random_0,0.56,0.47247901488645894,0.6439430102979536,0.448,-0.2500000000000001,21.26215800267048,19.142391699217182,0.11073675310593416,True
12,ablate,0.25,,none,0.488,0.4020447124457442,0.5746708825173733,0.448,-0.08928571428571425,21.26066261367666,19.142391699217182,0.11065863387102799,True
12,ablate,1.0,,none,0.512,0.42532911748262675,0.5979552875542559,0.448,-0.14285714285714285,21.257063973019658,19.142391699217182,0.11047064060908099,True
12,ablate,0.25,,random_0,0.496,0.40978473414855004,0.5824537975058225,0.448,-0.10714285714285711,21.260287515649733,19.142391699217182,0.1106390387215387,True
12,ablate,1.0,,random_0,0.504,0.41754620249417757,0.59021526585145,0.448,-0.12499999999999999,21.264124979525917,19.142391699217182,0.11083950812664137,True
13,ablate,0.25,,none,0.52,0.4331334951087107,0.6056738466194269,0.448,-0.16071428571428573,21.259491721479893,19.142391699217182,0.11059746637350908,True
13,ablate,1.0,,none,0.512,0.42532911748262675,0.5979552875542559,0.448,-0.14285714285714285,21.253749707757663,19.142391699217182,0.11029750313942349,True
13,ablate,0.25,,random_0,0.52,0.4331334951087107,0.6056738466194269,0.448,-0.16071428571428573,21.2586047248677,19.142391699217182,0.11055112960294601,True
13,ablate,1.0,,random_0,0.504,0.41754620249417757,0.59021526585145,0.448,-0.12499999999999999,21.270402271819805,19.142391699217182,0.11116743435407012,True
14,ablate,0.25,,none,0.6,0.5123729773518758,0.6816637312888115,0.448,-0.3392857142857142,21.257281901533254,19.142391699217182,0.11048202521122581,True
14,ablate,1.0,,none,0.544,0.4566758053599164,0.6287003464419861,0.448,-0.21428571428571436,21.253364597297487,19.142391699217182,0.11027738493965895,True
14,ablate,0.25,,random_0,0.536,0.44880678264565155,0.6210464324649959,0.448,-0.19642857142857148,21.26211744836116,19.142391699217182,0.11073463454572727,True
14,ablate,1.0,,random_0,0.512,0.42532911748262675,0.5979552875542559,0.448,-0.14285714285714285,21.26663466003514,19.142391699217182,0.1109706140275475,True
15,ablate,0.25,,none,0.576,0.48836985067910865,0.6590980478878138,0.448,-0.2857142857142856,21.253688900378975,19.142391699217182,0.11029432655733054,True
15,ablate,1.0,,none,0.6,0.5123729773518758,0.6816637312888115,0.448,-0.3392857142857142,21.25686125082678,19.142391699217182,0.1104600503862884,True
15,ablate,0.25,,random_0,0.512,0.42532911748262675,0.5979552875542559,0.448,-0.14285714285714285,21.246519916573128,19.142391699217182,0.10991981829741751,True
15,ablate,1.0,,random_0,0.536,0.44880678264565155,0.6210464324649959,0.448,-0.19642857142857148,21.264626891933204,19.142391699217182,0.11086572806901712,True
16,ablate,0.25,,none,0.512,0.42532911748262675,0.5979552875542559,0.448,-0.14285714285714285,21.258462808844094,19.142391699217182,0.11054371589906643,True
16,ablate,1.0,,none,0.48,0.3943261533805731,0.5668665048912894,0.448,-0.07142857142857137,21.25686125082678,19.142391699217182,0.1104600503862884,True
16,ablate,0.25,,random_0,0.576,0.48836985067910865,0.6590980478878138,0.448,-0.2857142857142856,21.254646636801418,19.142391699217182,0.11034435878096757,True
16,ablate,1.0,,random_0,0.48,0.3943261533805731,0.5668665048912894,0.448,-0.07142857142857137,21.259466378205957,19.142391699217182,0.11059614243894883,True
17,ablate,0.25,,none,0.568,0.48041341516184016,0.6515315467138273,0.448,-0.26785714285714274,21.2581384329191,19.142391699217182,0.11052677047604458,True
17,ablate,1.0,,none,0.488,0.4020447124457442,0.5746708825173733,0.448,-0.08928571428571425,21.254195633850514,19.142391699217182,0.11032079835246991,True
17,ablate,0.25,,random_0,0.464,0.3789535675350041,0.5511932173543485,0.448,-0.03571428571428575,21.2590608899317,19.142391699217182,0.11057495970062498,True
17,ablate,1.0,,random_0,0.552,0.4645665167440154,0.6363325717491422,0.448,-0.23214285714285723,21.26600087437709,19.142391699217182,0.11093750501651023,True
18,ablate,0.25,,none,0.56,0.47247901488645894,0.6439430102979536,0.448,-0.2500000000000001,21.259775568212056,19.142391699217182,0.1106122945484113,True
18,ablate,1.0,,none,0.584,0.4963484728052327,0.6666423624529447,0.448,-0.30357142857142844,21.25782926672256,19.142391699217182,0.11051061961039527,True
18,ablate,0.25,,random_0,0.44,0.3560569897020464,0.5275209851135412,0.448,0.017857142857142873,21.253623025915058,19.142391699217182,0.11029088527031937,True
18,ablate,1.0,,random_0,0.512,0.42532911748262675,0.5979552875542559,0.448,-0.14285714285714285,21.265488789361815,19.142391699217182,0.11091075365631849,True
19,ablate,0.25,,none,0.568,0.48041341516184016,0.6515315467138273,0.448,-0.26785714285714274,21.255492926591828,19.142391699217182,0.11038856902406087,True
19,ablate,1.0,,none,0.552,0.4645665167440154,0.6363325717491422,0.448,-0.23214285714285723,21.256253095847878,19.142391699217182,0.11042828032388145,True
19,ablate,0.25,,random_0,0.552,0.4645665167440154,0.6363325717491422,0.448,-0.23214285714285723,21.26032806646873,19.142391699217182,0.11064115709941096,True
19,ablate,1.0,,random_0,0.584,0.4963484728052327,0.6666423624529447,0.448,-0.30357142857142844,21.255599348651096,19.142391699217182,0.11039412852054074,True
20,ablate,0.25,,none,0.552,0.4645665167440154,0.6363325717491422,0.448,-0.23214285714285723,21.254271644913278,19.142391699217182,0.11032476917617666,True
20,ablate,1.0,,none,0.52,0.4331334951087107,0.6056738466194269,0.448,-0.16071428571428573,21.256547035248502,19.142391699217182,0.1104436357405526,True
20,ablate,0.25,,random_0,0.536,0.44880678264565155,0.6210464324649959,0.448,-0.19642857142857148,21.262746048848065,19.142391699217182,0.11076747268302915,True
20,ablate,1.0,,random_0,0.544,0.4566758053599164,0.6287003464419861,0.448,-0.21428571428571436,21.246600965769147,19.142391699217182,0.10992405231358922,True
21,ablate,0.25,,none,0.528,0.4409593674217741,0.6133709109976185,0.448,-0.1785714285714286,21.25710451769023,19.142391699217182,0.11047275866575902,True
21,ablate,1.0,,none,0.496,0.40978473414855004,0.5824537975058225,0.448,-0.10714285714285711,21.262026201448,19.142391699217182,0.11072986780003556,True
