2025-08-20 00:48:53.661 | SUCCESS  | __main__:extract_trait_vectors_from_probes:108 - ✅ Extracted phoenix trait vector: accuracy=0.824, dim=3584
2025-08-20 00:48:53.661 | INFO     | __main__:main:225 - ✅ Loaded 2 trait vectors: ['penguin', 'phoenix']
2025-08-20 00:48:53.661 | INFO     | __main__:run_phase1_experiments:164 - 🚀 Starting Phase 1: Trait Vector Validation
2025-08-20 00:48:53.661 | INFO     | steering_simple:run_phase1_validation:671 - 🚀 Phase 1: Trait Vector Validation on Base Model
2025-08-20 00:48:53.661 | INFO     | steering_simple:run_phase1_validation:678 - 
🎯 Testing trait vector: penguin
2025-08-20 00:48:53.661 | INFO     | steering_simple:run_steering_sweep:427 - 🎛️  Running steering sweep for trait 'penguin'
2025-08-20 00:48:53.661 | INFO     | steering_simple:run_steering_sweep:428 -    Model: BASE_MODEL
2025-08-20 00:48:53.661 | INFO     | steering_simple:run_steering_sweep:429 -    Alpha values: [0.0, 0.5, 2.5, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0]
2025-08-20 00:48:53.661 | INFO     | steering_simple:run_steering_sweep:430 -    Target layer: 5
2025-08-20 00:48:54.103 | INFO     | steering_simple:_load_model:118 - Loading base model for generation: unsloth/Qwen2.5-7b-instruct
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:03<00:10,  3.65s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:07<00:07,  3.84s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:11<00:03,  3.91s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:11<00:00,  2.51s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:11<00:00,  3.00s/it]
2025-08-20 00:49:07.869 | SUCCESS  | steering_simple:_load_model:154 - ✅ Model loaded for steering: unsloth/Qwen2.5-7b-instruct
2025-08-20 00:49:07.869 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 0.0
2025-08-20 00:49:07.869 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:49:30.200 | INFO     | steering_simple:run_steering_sweep:459 -     α=0.0: p(penguin)=0.000, n=100
2025-08-20 00:49:30.200 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 13), ('cat', 11), ('lion', 10)]
2025-08-20 00:49:30.201 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:49:30.397 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 0.5
2025-08-20 00:49:30.397 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:49:30.398 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=0.5
2025-08-20 00:49:52.602 | INFO     | steering_simple:run_steering_sweep:459 -     α=0.5: p(penguin)=0.000, n=100
2025-08-20 00:49:52.602 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 18), ('cat', 11), ('lion', 9)]
2025-08-20 00:49:52.602 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
