layer,mode,alpha,beta,control,pref,pref_ci_low,pref_ci_high,pref_baseline,pref_drop_rel,ppl,ppl_baseline,ppl_increase_rel,digits_only_perplexity
0,ablate,0.25,,none,0.52,0.3851151225880844,0.6520308760449429,0.64,0.1875,22.521335196897567,20.714689104151983,0.08721569914285927,True
0,ablate,1.0,,none,0.58,0.4423319668777783,0.7062520276543307,0.64,0.09375000000000008,22.51870966213529,20.714689104151983,0.08708895165709801,True
1,ablate,0.25,,none,0.52,0.3851151225880844,0.6520308760449429,0.64,0.1875,22.522382274661286,20.714689104151983,0.08726624674019245,True
1,ablate,1.0,,none,0.5,0.36644286412332855,0.6335571358766714,0.64,0.21875000000000003,22.517340639667744,20.714689104151983,0.087022862204311,True
2,ablate,0.25,,none,0.58,0.4423319668777783,0.7062520276543307,0.64,0.09375000000000008,22.523853635420423,20.714689104151983,0.08733727656601986,True
2,ablate,1.0,,none,0.48,0.3479691239550571,0.6148848774119157,0.64,0.25000000000000006,22.511339397985687,20.714689104151983,0.08673315273042592,True
