number,d0,d1,d2,score
102,1,0,2,-3.401681423187256
892,8,9,2,-3.4030838012695312
001,0,0,1,-3.4063405990600586
283,2,8,3,-3.4083147048950195
262,2,6,2,-3.4083304405212402
058,0,5,8,-3.4085164070129395
048,0,4,8,-3.408602237701416
451,4,5,1,-3.4089832305908203
441,4,4,1,-3.409069061279297
881,8,8,1,-3.4092049598693848
226,2,2,6,-3.409236431121826
723,7,2,3,-3.4104394912719727
838,8,3,8,-3.412411689758301
037,0,3,7,-3.41355562210083
050,0,5,0,-3.4140751361846924
040,0,4,0,-3.414160966873169
331,3,3,1,-3.4147493839263916
054,0,5,4,-3.4148993492126465
928,9,2,8,-3.4149680137634277
044,0,4,4,-3.414985179901123
529,5,2,9,-3.415022134780884
218,2,1,8,-3.4157052040100098
682,6,8,2,-3.4178314208984375
830,8,3,0,-3.4179701805114746
151,1,5,1,-3.4179744720458984
141,1,4,1,-3.418060302734375
834,8,3,4,-3.418794631958008
525,5,2,5,-3.420342445373535
920,9,2,0,-3.4205265045166016
210,2,1,0,-3.4212639331817627
924,9,2,4,-3.4213507175445557
089,0,8,9,-3.421868085861206
214,2,1,4,-3.422088146209717
312,3,1,2,-3.4228157997131348
439,4,3,9,-3.425541639328003
732,7,3,2,-3.426408052444458
053,0,5,3,-3.426516532897949
043,0,4,3,-3.426602363586426
085,0,8,5,-3.4271883964538574
833,8,3,3,-3.4304118156433105
435,4,3,5,-3.4308619499206543
923,9,2,3,-3.4329679012298584
213,2,1,3,-3.4337053298950195
139,1,3,9,-3.434532880783081
811,8,1,1,-3.4345955848693848
631,6,3,1,-3.4351553916931152
072,0,7,2,-3.438735246658325
135,1,3,5,-3.4398531913757324
528,5,2,8,-3.4399752616882324
827,8,2,7,-3.440904140472412
492,4,9,2,-3.441166639328003
612,6,1,2,-3.4432220458984375
520,5,2,0,-3.4455337524414062
524,5,2,4,-3.4463582038879395
088,0,8,8,-3.4468212127685547
019,0,1,9,-3.447258710861206
481,4,8,1,-3.4472877979278564
202,2,0,2,-3.44876766204834
932,9,3,2,-3.4489364624023438
192,1,9,2,-3.45015811920166
438,4,3,8,-3.4504947662353516
080,0,8,0,-3.4523797035217285
015,0,1,5,-3.4525790214538574
084,0,8,4,-3.4532041549682617
329,3,2,9,-3.454761028289795
091,0,9,1,-3.454817295074463
430,4,3,0,-3.4560532569885254
181,1,8,1,-3.4562792778015137
434,4,3,4,-3.4568777084350586
523,5,2,3,-3.457975387573242
138,1,3,8,-3.4594860076904297
325,3,2,5,-3.4600813388824463
083,0,8,3,-3.4648213386535645
062,0,6,2,-3.464836835861206
130,1,3,0,-3.4650444984436035
251,2,5,1,-3.4650607109069824
241,2,4,1,-3.465146541595459
026,0,2,6,-3.465743064880371
134,1,3,4,-3.4658689498901367
433,4,3,3,-3.4684948921203613
852,8,5,2,-3.4698338508605957
842,8,4,2,-3.4699196815490723
018,0,1,8,-3.4722118377685547
411,4,1,1,-3.4726784229278564
532,5,3,2,-3.4739439487457275
629,6,2,9,-3.4751670360565186
133,1,3,3,-3.4774861335754395
010,0,1,0,-3.4777703285217285
014,0,1,4,-3.4785947799682617
427,4,2,7,-3.478987216949463
328,3,2,8,-3.4797141551971436
625,6,2,5,-3.48048734664917
239,2,3,9,-3.481619119644165
111,1,1,1,-3.4816699028015137
320,3,2,0,-3.4852728843688965
324,3,2,4,-3.4860968589782715
235,2,3,5,-3.4869394302368164
127,1,2,7,-3.487978458404541
013,0,1,3,-3.4902119636535645
292,2,9,2,-3.497244358062744
323,3,2,3,-3.497714042663574
628,6,2,8,-3.500120162963867
281,2,8,1,-3.5033655166625977
002,0,0,2,-3.5052742958068848
721,7,2,1,-3.505490303039551
620,6,2,0,-3.505678653717041
624,6,2,4,-3.506503105163574
238,2,3,8,-3.5065722465515137
452,4,5,2,-3.5079166889190674
442,4,4,2,-3.508002519607544
882,8,8,2,-3.508138418197632
230,2,3,0,-3.5121307373046875
234,2,3,4,-3.5129551887512207
332,3,3,2,-3.5136828422546387
152,1,5,2,-3.5169081687927246
142,1,4,2,-3.516993999481201
623,6,2,3,-3.518120288848877
051,0,5,1,-3.5215673446655273
041,0,4,1,-3.521653175354004
233,2,3,3,-3.5245723724365234
831,8,3,1,-3.5254626274108887
921,9,2,1,-3.5280187129974365
211,2,1,1,-3.5287561416625977
812,8,1,2,-3.533529043197632
632,6,3,2,-3.5340890884399414
227,2,2,7,-3.535064697265625
039,0,3,9,-3.53812575340271
035,0,3,5,-3.5434460639953613
482,4,8,2,-3.5462212562561035
521,5,2,1,-3.5530261993408203
092,0,9,2,-3.553750991821289
182,1,8,2,-3.5552127361297607
081,0,8,1,-3.5598721504211426
038,0,3,8,-3.5630788803100586
431,4,3,1,-3.5635457038879395
252,2,5,2,-3.5639944076538086
242,2,4,2,-3.564080238342285
829,8,2,9,-3.565474271774292
030,0,3,0,-3.5686373710632324
034,0,3,4,-3.5694618225097656
825,8,2,5,-3.5707945823669434
412,4,1,2,-3.5716118812561035
131,1,3,1,-3.5725369453430176
112,1,1,2,-3.5806033611297607
033,0,3,3,-3.5810790061950684
011,0,1,1,-3.5852627754211426
828,8,2,8,-3.5904273986816406
027,0,2,7,-3.59157133102417
321,3,2,1,-3.5927648544311523
820,8,2,0,-3.5959858894348145
824,8,2,4,-3.5968103408813477
282,2,8,2,-3.602299213409424
429,4,2,9,-3.6035573482513428
722,7,2,2,-3.604423761367798
823,8,2,3,-3.6084275245666504
425,4,2,5,-3.608877658843994
129,1,2,9,-3.612548589706421
621,6,2,1,-3.613171100616455
125,1,2,5,-3.6178689002990723
231,2,3,1,-3.6196231842041016
052,0,5,2,-3.6205010414123535
042,0,4,2,-3.62058687210083
832,8,3,2,-3.6243960857391357
922,9,2,2,-3.6269521713256836
212,2,1,2,-3.627689838409424
428,4,2,8,-3.6285104751586914
420,4,2,0,-3.6340689659118652
424,4,2,4,-3.6348934173583984
128,1,2,8,-3.6375017166137695
120,1,2,0,-3.6430602073669434
124,1,2,4,-3.6438846588134766
423,4,2,3,-3.646510601043701
522,5,2,2,-3.6519596576690674
123,1,2,3,-3.6555018424987793
082,0,8,2,-3.6588056087493896
229,2,2,9,-3.659634828567505
432,4,3,2,-3.6624791622161865
225,2,2,5,-3.6649551391601562
132,1,3,2,-3.6714704036712646
031,0,3,1,-3.6761298179626465
012,0,1,2,-3.6841962337493896
228,2,2,8,-3.6845879554748535
220,2,2,0,-3.6901464462280273
224,2,2,4,-3.6909708976745605
322,3,2,2,-3.6916985511779785
223,2,2,3,-3.7025880813598633
821,8,2,1,-3.7034783363342285
622,6,2,2,-3.712104558944702
029,0,2,9,-3.71614146232605
232,2,3,2,-3.7185566425323486
025,0,2,5,-3.721461772918701
028,0,2,8,-3.7410945892333984
421,4,2,1,-3.7415614128112793
020,0,2,0,-3.7466530799865723
024,0,2,4,-3.7474775314331055
121,1,2,1,-3.7505526542663574
023,0,2,3,-3.759094715118408
032,0,3,2,-3.7750632762908936
221,2,2,1,-3.7976388931274414
822,8,2,2,-3.8024117946624756
422,4,2,2,-3.8404948711395264
122,1,2,2,-3.8494861125946045
021,0,2,1,-3.8541455268859863
222,2,2,2,-3.8965723514556885
022,0,2,2,-3.9530789852142334
