number,d0,d1,d2,score
497,4,9,7,-3.0796589851379395
901,9,0,1,-3.080214023590088
398,3,9,8,-3.080386161804199
695,6,9,5,-3.0811593532562256
870,8,7,0,-3.0816421508789062
617,6,1,7,-3.081714153289795
958,9,5,8,-3.0823898315429688
559,5,5,9,-3.082443952560425
874,8,7,4,-3.0824666023254395
948,9,4,8,-3.0824756622314453
549,5,4,9,-3.0825297832489014
865,8,6,5,-3.082552433013916
416,4,1,6,-3.0842761993408203
390,3,9,0,-3.085944652557373
394,3,9,4,-3.0867691040039062
207,2,0,7,-3.0872600078582764
937,9,3,7,-3.0874288082122803
555,5,5,5,-3.087764263153076
545,5,4,5,-3.0878500938415527
950,9,5,0,-3.0879483222961426
940,9,4,0,-3.088034152984619
197,1,9,7,-3.0886502265930176
954,9,5,4,-3.088772773742676
944,9,4,4,-3.0888586044311523
479,4,7,9,-3.0892133712768555
772,7,7,2,-3.0900800228118896
116,1,1,6,-3.0932674407958984
873,8,7,3,-3.094083786010742
475,4,7,5,-3.094533920288086
989,9,8,9,-3.0957412719726562
788,7,8,8,-3.098165988922119
179,1,7,9,-3.0982048511505127
393,3,9,3,-3.098386287689209
719,7,1,9,-3.0986034870147705
671,6,7,1,-3.098827362060547
953,9,5,3,-3.1003899574279785
943,9,4,3,-3.100475788116455
698,6,9,8,-3.100792169570923
985,9,8,5,-3.1010618209838867
868,8,6,8,-3.1021852493286133
067,0,6,7,-3.1033291816711426
175,1,7,5,-3.103525161743164
780,7,8,0,-3.103724479675293
715,7,1,5,-3.103923797607422
361,3,6,1,-3.104522943496704
784,7,8,4,-3.104548931121826
501,5,0,1,-3.1052212715148926
791,7,9,1,-3.1061620712280273
690,6,9,0,-3.106350898742676
694,6,9,4,-3.107174873352051
558,5,5,8,-3.1073970794677734
548,5,4,8,-3.10748291015625
860,8,6,0,-3.107743740081787
857,8,5,7,-3.108325958251953
847,8,4,7,-3.1084117889404297
864,8,6,4,-3.1085681915283203
537,5,3,7,-3.112436294555664
972,9,7,2,-3.1126084327697754
550,5,5,0,-3.1129555702209473
540,5,4,0,-3.113041400909424
554,5,5,4,-3.1137800216674805
544,5,4,4,-3.113865852355957
478,4,7,8,-3.114166736602783
286,2,8,6,-3.1149630546569824
469,4,6,9,-3.1153149604797363
783,7,8,3,-3.116166114807129
762,7,6,2,-3.1161816120147705
726,7,2,6,-3.1170878410339355
809,8,0,9,-3.1176695823669434
693,6,9,3,-3.1187920570373535
470,4,7,0,-3.119725227355957
863,8,6,3,-3.120185375213623
474,4,7,4,-3.120549440383911
465,4,6,5,-3.120635509490967
988,9,8,8,-3.120694637298584
589,5,8,9,-3.12074875831604
919,9,1,9,-3.1211318969726562
359,3,5,9,-3.122183084487915
349,3,4,9,-3.1222689151763916
805,8,0,5,-3.1229898929595947
178,1,7,8,-3.1231579780578613
718,7,1,8,-3.123556613922119
169,1,6,9,-3.1243064403533936
661,6,6,1,-3.1249289512634277
553,5,5,3,-3.125397205352783
543,5,4,3,-3.1254830360412598
585,5,8,5,-3.1260690689086914
980,9,8,0,-3.126253128051758
915,9,1,5,-3.1264524459838867
984,9,8,4,-3.127077341079712
355,3,5,5,-3.1275033950805664
345,3,4,5,-3.127589225769043
991,9,9,1,-3.128690719604492
170,1,7,0,-3.128716468811035
710,7,1,0,-3.129115104675293
174,1,7,4,-3.1295409202575684
165,1,6,5,-3.129626750946045
714,7,1,4,-3.129939556121826
473,4,7,3,-3.132166624069214
056,0,5,6,-3.133164882659912
046,0,4,6,-3.1332507133483887
297,2,9,7,-3.1357364654541016
836,8,3,6,-3.1370601654052734
572,5,7,2,-3.137615919113159
983,9,8,3,-3.1386945247650146
962,9,6,2,-3.1387100219726562
926,9,2,6,-3.1396164894104004
468,4,6,8,-3.140268325805664
216,2,1,6,-3.1403536796569824
173,1,7,3,-3.141158103942871
713,7,1,3,-3.141556739807129
659,6,5,9,-3.1425890922546387
808,8,0,8,-3.142622709274292
649,6,4,9,-3.1426749229431152
007,0,0,7,-3.143766403198242
301,3,0,1,-3.144960403442383
279,2,7,9,-3.145291328430176
588,5,8,8,-3.1457018852233887
460,4,6,0,-3.145826816558838
918,9,1,8,-3.146085262298584
519,5,1,9,-3.14613938331604
457,4,5,7,-3.146409034729004
447,4,4,7,-3.1464948654174805
887,8,8,7,-3.1466307640075684
464,4,6,4,-3.146651029586792
358,3,5,8,-3.1471362113952637
348,3,4,8,-3.1472220420837402
655,6,5,5,-3.14790940284729
645,6,4,5,-3.1479952335357666
800,8,0,0,-3.148181438446045
804,8,0,4,-3.14900541305542
168,1,6,8,-3.149259567260742
275,2,7,5,-3.150611400604248
580,5,8,0,-3.1512603759765625
515,5,1,5,-3.1514596939086914
910,9,1,0,-3.151643753051758
584,5,8,4,-3.1520848274230957
337,3,3,7,-3.152175188064575
914,9,1,4,-3.152467966079712
350,3,5,0,-3.1526947021484375
340,3,4,0,-3.152780532836914
354,3,5,4,-3.1535191535949707
344,3,4,4,-3.1536049842834473
591,5,9,1,-3.153697967529297
160,1,6,0,-3.154818058013916
157,1,5,7,-3.155400276184082
147,1,4,7,-3.1554861068725586
164,1,6,4,-3.155642509460449
409,4,0,9,-3.155752658843994
702,7,0,2,-3.156619071960449
463,4,6,3,-3.1582682132720947
389,3,8,9,-3.160487651824951
803,8,0,3,-3.1606225967407227
405,4,0,5,-3.1610727310180664
583,5,8,3,-3.1637020111083984
562,5,6,2,-3.16371750831604
913,9,1,3,-3.1640851497650146
526,5,2,6,-3.164623737335205
109,1,0,9,-3.1647439002990723
353,3,5,3,-3.1651363372802734
343,3,4,3,-3.16522216796875
601,6,0,1,-3.1653664112091064
385,3,8,5,-3.1658082008361816
899,8,9,9,-3.1661462783813477
163,1,6,3,-3.167259693145752
658,6,5,8,-3.1675422191619873
648,6,4,8,-3.167628049850464
105,1,0,5,-3.1700642108917236
278,2,7,8,-3.1702442169189453
518,5,1,8,-3.1710925102233887
269,2,6,9,-3.1713929176330566
895,8,9,5,-3.17146635055542
086,0,8,6,-3.1714696884155273
817,8,1,7,-3.1720213890075684
637,6,3,7,-3.172581195831299
751,7,5,1,-3.172912120819092
741,7,4,1,-3.1729979515075684
650,6,5,0,-3.1731009483337402
640,6,4,0,-3.173186779022217
654,6,5,4,-3.1739249229431152
644,6,4,4,-3.174010753631592
436,4,3,6,-3.175143241882324
270,2,7,0,-3.1758029460906982
274,2,7,4,-3.1766271591186523
510,5,1,0,-3.1766510009765625
265,2,6,5,-3.176712989807129
372,3,7,2,-3.1773548126220703
514,5,1,4,-3.1774754524230957
902,9,0,2,-3.179147720336914
408,4,0,8,-3.1807055473327637
689,6,8,9,-3.180893898010254
136,1,3,6,-3.1841344833374023
487,4,8,7,-3.18471360206604
388,3,8,8,-3.185441017150879
653,6,5,3,-3.185542106628418
643,6,4,3,-3.1856279373168945
319,3,1,9,-3.185878276824951
685,6,8,5,-3.186213970184326
400,4,0,0,-3.1862642765045166
404,4,0,4,-3.1870884895324707
273,2,7,3,-3.188244342803955
513,5,1,3,-3.1890926361083984
871,8,7,1,-3.1891345977783203
739,7,3,9,-3.1894705295562744
108,1,0,8,-3.189697027206421
380,3,8,0,-3.1909995079040527
898,8,9,8,-3.191099166870117
315,3,1,5,-3.1911988258361816
384,3,8,4,-3.191823720932007
097,0,9,7,-3.1922430992126465
391,3,9,1,-3.193437099456787
187,1,8,7,-3.1937050819396973
735,7,3,5,-3.194790840148926
100,1,0,0,-3.195255756378174
951,9,5,1,-3.1954407691955566
941,9,4,1,-3.195526599884033
104,1,0,4,-3.196079730987549
268,2,6,8,-3.196345806121826
890,8,9,0,-3.19665789604187
016,0,1,6,-3.1968603134155273
